section;entity;subentity;key;value;unit;note
snapshot;game;;year;1376;;
snapshot;game;;month;12;;
snapshot;game;;sea_state;stuermische See;;
atheria;macro;;global_growth;0.8904;;
atheria;macro;;global_price_level;1.4121;;
atheria;macro;;resource_scarcity;0.6200;;
city;Luebeck;;treasury;-184;Mark;
city;Luebeck;;building_count;2;count;
city_inventory;Luebeck;Salz;stock;123;units;
city_inventory;Luebeck;Salz;scarcity_factor;1.0000;;
city_inventory;Luebeck;Salz;market_price;96;Mark;
city_inventory;Luebeck;Holz;stock;127;units;
city_inventory;Luebeck;Holz;scarcity_factor;1.0000;;
city_inventory;Luebeck;Holz;market_price;79;Mark;
city_inventory;Luebeck;Pelze;stock;160;units;
city_inventory;Luebeck;Pelze;scarcity_factor;1.0000;;
city_inventory;Luebeck;Pelze;market_price;187;Mark;
city_inventory;Luebeck;Getreide;stock;3;units;
city_inventory;Luebeck;Getreide;scarcity_factor;1.4083;;
city_inventory;Luebeck;Getreide;market_price;68;Mark;
city_inventory;Luebeck;Tuch;stock;60;units;
city_inventory;Luebeck;Tuch;scarcity_factor;1.2000;;
city_inventory;Luebeck;Tuch;market_price;162;Mark;
city_inventory;Luebeck;Hering;stock;375;units;
city_inventory;Luebeck;Hering;scarcity_factor;0.7922;;
city_inventory;Luebeck;Hering;market_price;76;Mark;
city_inventory;Luebeck;Wein;stock;27;units;
city_inventory;Luebeck;Wein;scarcity_factor;1.2083;;
city_inventory;Luebeck;Wein;market_price;233;Mark;
city_inventory;Luebeck;Bier;stock;44;units;
city_inventory;Luebeck;Bier;scarcity_factor;1.2400;;
city_inventory;Luebeck;Bier;market_price;151;Mark;
building;Luebeck;1;id;brewery;;
building;Luebeck;1;name;Brauerei;;
building;Luebeck;1;level;2;;
building;Luebeck;1;active;1;;
building;Luebeck;1;can_run_now;0;;
building;Luebeck;1;inputs;"{""Getreide"": 4, ""Holz"": 1}";;
building;Luebeck;1;outputs;"{""Bier"": 6}";;
building;Luebeck;2;id;fishery;;
building;Luebeck;2;name;Fischerei;;
building;Luebeck;2;level;1;;
building;Luebeck;2;active;1;;
building;Luebeck;2;can_run_now;1;;
building;Luebeck;2;inputs;{};;
building;Luebeck;2;outputs;"{""Hering"": 4}";;
city;Bergen;;treasury;-324;Mark;
city;Bergen;;building_count;2;count;
city_inventory;Bergen;Salz;stock;176;units;
city_inventory;Bergen;Salz;scarcity_factor;1.0000;;
city_inventory;Bergen;Salz;market_price;90;Mark;
city_inventory;Bergen;Holz;stock;1448;units;
city_inventory;Bergen;Holz;scarcity_factor;0.7800;;
city_inventory;Bergen;Holz;market_price;55;Mark;
city_inventory;Bergen;Pelze;stock;20;units;
city_inventory;Bergen;Pelze;scarcity_factor;1.2667;;
city_inventory;Bergen;Pelze;market_price;119;Mark;
city_inventory;Bergen;Getreide;stock;36;units;
city_inventory;Bergen;Getreide;scarcity_factor;1.1333;;
city_inventory;Bergen;Getreide;market_price;78;Mark;
city_inventory;Bergen;Tuch;stock;184;units;
city_inventory;Bergen;Tuch;scarcity_factor;1.0000;;
city_inventory;Bergen;Tuch;market_price;118;Mark;
city_inventory;Bergen;Hering;stock;116;units;
city_inventory;Bergen;Hering;scarcity_factor;1.0600;;
city_inventory;Bergen;Hering;market_price;58;Mark;
city_inventory;Bergen;Wein;stock;20;units;
city_inventory;Bergen;Wein;scarcity_factor;1.2667;;
city_inventory;Bergen;Wein;market_price;293;Mark;
city_inventory;Bergen;Bier;stock;58;units;
city_inventory;Bergen;Bier;scarcity_factor;1.2050;;
city_inventory;Bergen;Bier;market_price;118;Mark;
building;Bergen;1;id;woodcutter;;
building;Bergen;1;name;Holzfaeller;;
building;Bergen;1;level;2;;
building;Bergen;1;active;1;;
building;Bergen;1;can_run_now;1;;
building;Bergen;1;inputs;{};;
building;Bergen;1;outputs;"{""Holz"": 6}";;
building;Bergen;2;id;fishery;;
building;Bergen;2;name;Fischerei;;
building;Bergen;2;level;1;;
building;Bergen;2;active;1;;
building;Bergen;2;can_run_now;1;;
building;Bergen;2;inputs;{};;
building;Bergen;2;outputs;"{""Hering"": 4}";;
city;Toensberg;;treasury;-108;Mark;
city;Toensberg;;building_count;1;count;
city_inventory;Toensberg;Salz;stock;93;units;
city_inventory;Toensberg;Salz;scarcity_factor;1.1175;;
city_inventory;Toensberg;Salz;market_price;93;Mark;
